Country,Year,Exports of goods and services (current US$),External balance on goods and services (current US$),Final consumption expenditure (% of GDP),Migrant remittance inflows (% of GDP),GDP (current US$),GDP growth (annual %),"GDP per capita, PPP (current international $)",GNI (current US$),Imports of goods and services (current US$)
Burundi,2008-01-01,169242769.15919,-422300979.246277,112.791016247379,0.224916987745945,1611835856.59275,4.86171636712641,625.243739608448,1607531530.49313,591543748.405467
Burundi,2009-01-01,117576044.139912,-402608915.368018,103.625141398005,1.55533407710315,1781455140.34202,3.81274536633418,620.896733786154,1764475743.70941,520184959.507929
Burundi,2010-01-01,197117146.88489,-408459216.547115,102.939620886773,1.70208516668637,2032135191.46211,5.12415999439806,630.358192954177,2021267250.68353,605576363.432006
Burundi,2011-01-01,196752237.511961,-567898536.167605,109.054237331417,1.95458819149959,2235820808.72908,4.03259998844415,646.103127483227,2218331579.97685,764650773.679566
Burundi,2012-01-01,226242999.918978,-567309538.221038,107.97505420609,,2333341334.45753,4.44670633111495,651.952327282116,2326835709.91274,793552538.140016
Burundi,2013-01-01,222979900.959698,-696588891.645666,113.780899579302,,2451606631.76696,4.92418989834684,696.497000211236,2453391157.75124,919568792.605364
Burundi,2014-01-01,235295491.868639,-692761257.397532,111.399954934278,,2705783330.38796,4.24065021402657,728.870060256426,2698322226.43672,928056749.266171
Burundi,2015-01-01,199192398.999512,-310516328.982261,97.8402919508163,,3104003545.60675,-3.9000000804855,797.05011411535,3104359891.80811,509708727.981773
Burundi,2016-01-01,168837908.943205,-271712679.956202,101.037246321854,,2644487777.23693,-0.600000909116389,766.587220607525,2643216721.24879,440550588.899407
Burundi,2017-01-01,164138992.683104,-277455737.890157,101.381131464551,,2723586962.18686,0.500001262429279,750.787616270977,2725061087.21683,441594730.57326
Burundi,2018-01-01,151646759.766689,-406169009.588607,104.124953712126,,2667182198.97925,1.60993542127714,758.249031649132,2672837527.58809,557815769.355296
Burundi,2019-01-01,133258587.031036,-481348606.556433,104.553419999993,,2576518879.39881,1.81256532401552,760.604126130591,2583934017.54779,614607193.587469
Burundi,2020-01-01,120542434.059074,-468322772.096447,106.228720000419,,2649680261.01097,0.327156892638385,751.200911871257,2664225061.97908,588865206.155521
Burundi,2021-01-01,138797984.672886,-522352019.461937,105.705459999731,,2775798697.16485,3.09999999870627,787.942778733935,2783915268.64852,661150004.134822
Burundi,2022-01-01,152782473.099435,-564682254.563355,104.986242322116,,3073414677.84385,1.84899999899326,836.18756902761,3087401240.71312,717464727.66279
Djibouti,1960-01-01,,,,,,,,,
Djibouti,1961-01-01,,,,,,,,,
Djibouti,1962-01-01,,,,,,,,,
Djibouti,1963-01-01,,,,,,,,,
Djibouti,1964-01-01,,,,,,,,,
Djibouti,1965-01-01,,,,,,,,,
Djibouti,1966-01-01,,,,,,,,,
Djibouti,1967-01-01,,,,,,,,,
Djibouti,1968-01-01,,,,,,,,,
Djibouti,1969-01-01,,,,,,,,,
Djibouti,1970-01-01,,,,,,,,,
Djibouti,1971-01-01,,,,,,,,,
Djibouti,1972-01-01,,,,,,,,,
Djibouti,1973-01-01,,,,,,,,,
Djibouti,1974-01-01,,,,,,,,,
Djibouti,1975-01-01,,,,,,,,,
Djibouti,1976-01-01,,,,,,,,,
Djibouti,1977-01-01,,,,,,,,,
Djibouti,1978-01-01,,,,,,,,,
Djibouti,1979-01-01,,,,,,,,,
Djibouti,1980-01-01,,,,,,,,,
Djibouti,1981-01-01,,,,,,,,,
Djibouti,1982-01-01,,,,,,,,,
Djibouti,1983-01-01,,,,,,,,,
Djibouti,1984-01-01,,,,,,,,,
Djibouti,1985-01-01,,,,,340989527.969913,,,,
Djibouti,1986-01-01,,,,,,,,,
Djibouti,1987-01-01,,,,,373371738.286415,,,,
Djibouti,1988-01-01,,,,,395794538.630775,,,,
Djibouti,1989-01-01,,,,,409220087.102818,,,,
Djibouti,1990-01-01,,,,,452328087.282876,,,,
Djibouti,1991-01-01,,,,2.83760077745031,462421998.525779,,,482914793.412146,
Djibouti,1992-01-01,,,,2.74478867777567,478058304.871118,,,498044688.022237,
Djibouti,1993-01-01,,,,4.08443648172326,466048469.22986,,,489067695.995409,
Djibouti,1994-01-01,,,,2.75566886823346,491689220.744875,,,508327659.6463,
Djibouti,1995-01-01,,,,2.38875815932632,497723960.589913,,,515031988.341276,
Djibouti,1996-01-01,,,,2.21538803343571,494004647.73437,,,509742799.106465,
Djibouti,1997-01-01,,,,2.28239446644643,502675542.001227,,,514863184.429527,
Djibouti,1998-01-01,,,,2.32175945772496,514267869.300758,,,524857501.364498,
Djibouti,1999-01-01,,,,2.1569661812756,536080148.097299,,,548464728.42264,
Djibouti,2000-01-01,,,,2.22936080394915,551230861.856505,,,567019654.402125,
Djibouti,2001-01-01,,,,2.08688437972543,572417440.820162,,,584835781.927853,
